Error_Model,Strength,Process_Infidelity,Gate,F_CB,F_SCG,Gauge_Fidelity,F_CB_hat
ZXZXZ_Tilted,1,6.250786275585618e-05,Gate.id,0.9999374921372444,0.9999374921254606,0.9999685476874874,0.9999383268983214
ZXZXZ_Tilted,2,0.000250000342408,Gate.cx,0.989505042332503,0.9895022324679896,0.9997468531602236,0.98950110389915
ZXZXZ_Tilted,2,0.000250000342408,Gate.t,0.9947513052965772,0.9948747228966888,0.9998722171861096,0.9949289540592816
ZXZXZ_Tilted,2,0.000250000342408,Gate.h,0.9987502594860348,0.9987378206893764,0.9998736415412296,0.9987385655325068
ZXZXZ_Tilted,2,0.000250000342408,Gate.id,0.999749999657592,0.999749999478703,0.9998742032305588,0.9997505332022404
ZXZXZ_Tilted,3,0.0005623841286529,Gate.cx,0.9888868098326408,0.988880399885867,0.9994305095188316,0.988915754626132
ZXZXZ_Tilted,3,0.0005623841286529,Gate.t,0.9944405246627112,0.9946236008355462,0.9997125258179904,0.994694714191
ZXZXZ_Tilted,3,0.0005623841286529,Gate.h,0.9984382006139754,0.9984185129511663,0.999715663329607,0.998403999140332
ZXZXZ_Tilted,3,0.0005623841286529,Gate.id,0.999437615871347,0.9994376150135772,0.9997169907693968,0.9994319528615414
ZXZXZ_Tilted,4,0.0009995037561006,Gate.cx,0.9880220551475378,0.9880104437637592,0.9989877826758172,0.987992325865445
ZXZXZ_Tilted,4,0.0009995037561006,Gate.t,0.9940056676541812,0.9942469368334378,0.9994890015544716,0.9943150957045848
ZXZXZ_Tilted,4,0.0009995037561006,Gate.h,0.9980015417874124,0.9979738692623658,0.9994944655935932,0.9979643502473068
ZXZXZ_Tilted,4,0.0009995037561006,Gate.id,0.9990004962438992,0.9990004936812152,0.999496941733983,0.99899155003245
